10.620		11,9%	+26,2%
2.640		44,8%	+18,2%
2.740		42,6%	+16,7%
2.740		42,6%	+16,7%
5.670		20,3%	+14,8%
1.980		57,3%	+13,4%
1.854		61,1%	+13,3%
1.769		62,2%	+10,1%
2.020		54,4%	+9,79%
1.800		61,0%	+9,70%
3.290		33,2%	+9,29%
2.310		47,2%	+9,08%
4.890		22,2%	+8,69%
8.710		12,4%	+8,34%
1.740		62,1%	+8,11%
2.500		43,0%	+7,46%
1.787		60,1%	+7,39%
2.050		52,3%	+7,26%
6.640		16,2%	+7,21%
6.180		17,3%	+6,96%
6.180		17,3%	+6,96%
10.620		11,9%	+26,2%
2.640		44,8%	+18,2%
2.740		42,6%	+16,7%
2.740		42,6%	+16,7%
5.670		20,3%	+14,8%
1.980		57,3%	+13,4%
1.854		61,1%	+13,3%
1.769		62,2%	+10,1%
2.020		54,4%	+9,79%
1.800		61,0%	+9,70%
3.290		33,2%	+9,29%
2.310		47,2%	+9,08%
4.890		22,2%	+8,69%
8.710		12,4%	+8,34%
1.740		62,1%	+8,11%
2.500		43,0%	+7,46%
1.787		60,1%	+7,39%
2.050		52,3%	+7,26%
6.640		16,2%	+7,21%
6.180		17,3%	+6,96%
6.180		17,3%	+6,96%
10.620		11,9%	+26,2%
2.640		44,8%	+18,2%
2.740		42,6%	+16,7%
2.740		42,6%	+16,7%
5.670		20,3%	+14,8%
1.980		57,3%	+13,4%
1.854		61,1%	+13,3%
1.769		62,2%	+10,1%
2.020		54,4%	+9,79%
1.800		61,0%	+9,70%
3.290		33,2%	+9,29%
2.310		47,2%	+9,08%
4.890		22,2%	+8,69%
8.710		12,4%	+8,34%
1.740		62,1%	+8,11%
2.500		43,0%	+7,46%
1.787		60,1%	+7,39%
2.050		52,3%	+7,26%
6.640		16,2%	+7,21%
6.180		17,3%	+6,96%
6.180		17,3%	+6,96%
10.620		11,9%	+26,2%
2.640		44,8%	+18,2%
2.740		42,6%	+16,7%
2.740		42,6%	+16,7%
5.670		20,3%	+14,8%
1.980		57,3%	+13,4%
1.854		61,1%	+13,3%
1.769		62,2%	+10,1%
2.020		54,4%	+9,79%
1.800		61,0%	+9,70%
3.290		33,2%	+9,29%
2.310		47,2%	+9,08%
4.890		22,2%	+8,69%
8.710		12,4%	+8,34%
1.740		62,1%	+8,11%
2.500		43,0%	+7,46%
1.787		60,1%	+7,39%
2.050		52,3%	+7,26%
6.640		16,2%	+7,21%
6.180		17,3%	+6,96%
6.180		17,3%	+6,96%
10.620		11,9%	+26,2%
2.640		44,8%	+18,2%
2.740		42,6%	+16,7%
2.740		42,6%	+16,7%
5.670		20,3%	+14,8%
1.980		57,3%	+13,4%
1.854		61,1%	+13,3%
1.769		62,2%	+10,1%
2.020		54,4%	+9,79%
1.800		61,0%	+9,70%
3.290		33,2%	+9,29%
2.310		47,2%	+9,08%
4.890		22,2%	+8,69%
8.710		12,4%	+8,34%
1.740		62,1%	+8,11%
2.500		43,0%	+7,46%
1.787		60,1%	+7,39%
